,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
981,10172988887,"""

 A knife for you! 

  A knife for you! One of this days, I am going to cut you into little pieces…   """,1,0,0,1,0,0
1471,15353600934,"My personal opinion 

Is that you're a fucking wanker and I hope you die a painful death. 91.108.192.125",1,0,1,1,1,0
1563,16306156070,"I am going to shoot you in the head and laugh as your brains splatter onto the ground.  

I am going to shoot you in the head and laugh as your brains splatter onto the ground.",1,1,0,1,0,0
1703,17628940425,"Stop being a shithead, or I will rip off your head and piss down your esophagus, mother fucker. We Came In?",1,1,1,1,1,0
2457,25059133070,"You. 

You're such a sad person, the fact you FAILED RfA makes me LAUGH!
I hope you get raped & murdered and you rot in hell you CUNT!",1,0,1,1,1,0
2984,30425193533,I AM ANGRY AT YOU BILLJ! YOU GOT PEOPLE BLOCKED FOR AS LONG AS YOU LIVE! I ASKED YOU TO STOP DELETING MY EDITS OR I WILL BLOCK YOU FOR ALl EONS YOU ASSHOLE! WIKIPEDIA IS NOT CENSORED SO STOP REMOVING MY FUCKING MESSAGES OR I WILL BEAT YOU UP SILLY!,1,0,1,1,1,0
4034,41912101992,"You are such a fucking hypocrite. 

I hope you get raped and killed by some lunatic like Andrew Morrow.",1,0,1,1,1,0
4102,42472912089,Who gives a shit? Anthony Bourdain is a tool. I just wish he had children so I could stomp on there testicals. Just kidding but he is a massive tool. He couldn't carry Emerils jockstrap. Next time I see him I'll knock his teeth out....,1,0,1,1,0,0
4180,43275806350,"Personal Attack Number 2 

This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker!!",1,1,1,1,1,0
4285,44585657575,Graeme Bartlet MUST die,1,0,0,1,0,0
4339,45214499307,Wow dude.  As your physician I suggest you slit your wrists.,0,0,0,1,0,0
