,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
32,345843351,"""
Ban one side of an argument by a bullshit nazi admin and you get no discussion because the islamist editors feel they """"won"""".""",1,0,1,0,1,0
81,867036368,"""

It was very constructive you are just very very stupid. ARKJEDI10  """,1,0,1,0,1,0
86,903134494,"""

 You know what? Fuck you! I tried to be civil to you earlier, but since you're not gonna pay me the same courtesy there's no point. There's no need to poke fun at me using the word """"man"""" and making sarcastic comments about using references. Now I know you're just looking for a fight. I've worked on the content, and I only ended up keeping a few sentences but they don't have sources, so let me look for some right now. """,1,0,1,0,1,0
104,1102537245,"""

 Corrected spelling of """"recognised"""" to """"recognized"""" in the Pluto article. 

I undid your revisions to the article, as your spelling is incorrect according to both Merriam-Webster's dictionary and my computer's standard spell-checker.

Wikipedia was founded by Americans, and is hosted on servers in America.

Pluto was discovered by an American, and its named approved by Americans.

So you and your retarded-ass Asperger self can shut up and go cry in a corner about how your country sucks ass compared to America. Leave your goddamn piece of shit British spellings where they belong: in the toilet where America rightly put them.""",1,0,1,0,1,0
122,1246453271,"your time....

You suck because you are RIGHT...it is the third.....and I don't remember yours....STILL...LOL...I wanna say its in October....but something tells me it isn't...",0,0,1,0,1,0
124,1273021506,"YOU NEED A PUSSY, YOUR GEEK!",1,0,1,0,1,0
213,2248673613,"F'UCK YOU ADMINISTRATORS (I WILL BE BACK TO TROLL YOU MORONS) 

Just a message.",1,1,1,0,1,0
234,2414065368,"""
ok a direct quote from the page for fuck is """"Other uses are dysphemistic: The sexual connotation, usually connected to masturbation (in the case of """"go fuck yourself"""" or """"go fuck your ass"""") is invoked to incite additional disgust, or express anger or outrage. For example, """"Fuck that!"""", """"Fuck no!"""", or """"Fuck you!""""."""" 
thats a bit worse than saying """"masturbation is like taking a good dump"""" mate come on just put it back up and quit being a douche...""",1,0,1,0,0,0
286,3038244770,HAHA THIS IS MY FUCKIN PAGE!!!!!!!!! I CAN DO WHATEVER I WANT!!!!!!,1,0,1,0,0,0
308,3276058038,"These Iranian bastards are at it again. Not only here, but also in the German Wikipedia. User:Tajik's German account, de:Benutzer:Phoenix2, is falsifying and misquoting sources. You need to watch his IPs! These Iranian faggots won't give up! Keep Rumi, Safavids, and Babak on your watchlist.",1,0,1,0,1,1
330,3456115104,"is the sock puppet of ,fuck off",1,0,1,0,1,0
349,3666074192,"Quit removing my content asshole, I'm not spamming. I'm adding relevant, valuable information with the only intention of helping the end user.",1,0,1,0,0,0
352,3676668894,"Idiots

The Barris batmobile did not have a steering rack, so I edited that bullshit out..",1,0,1,0,1,0
381,3933201378,"MTA strike=
KEEP YOUR VANDALISM IN CHECK COMMIE SHIT STAIN",1,0,1,0,0,0
436,4458509582,you are a stupid ass hole thats my  message,1,0,1,0,1,0
459,4651969382,"alex fuck you 

...",1,0,1,0,1,0
