,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
308,3276058038,"These Iranian bastards are at it again. Not only here, but also in the German Wikipedia. User:Tajik's German account, de:Benutzer:Phoenix2, is falsifying and misquoting sources. You need to watch his IPs! These Iranian faggots won't give up! Keep Rumi, Safavids, and Babak on your watchlist.",1,0,1,0,1,1
571,5920307729,"""

 The Great One! 
I dont really have a problem, i just dont like you very much, u see i dont make many edits and im not one to taddle tale on vandels, and do u know the reason 4 that? its because i have this little thing called a life, i log on every now and again and make a few edits and for some reason when i do i find that some loser has got something to say to me, attacking my views on subjects that are of no concern to them, they dont care about subjects yet they go to the page to complain about the page itself """"disturbed are shit"""" """"Motorhead are not metal"""" and i shoot em down for that, then some faggots have a problem with me telling them that. and now u have done that, i made my peice then thought """"why should i listen to a poofter like him"""" so here i am again, u are a faggot nerd burger! u have managed to make me h8 u without me even knowing u, u are the biggest poofter bogan i have ever encountered on wiipedia and to be honest, if i had the chance i would probably cripple u! go back to ur gay orgy! go root ur mums boyfriend u fat sack of nerd shit!.       kind regards   """,0,0,1,0,1,1
595,6190159052,"probably that you are a german... fucking germans, nothing changes",1,0,1,0,1,1
889,9226896218,"""

 Contested deletion 

This page should not be speedily deleted because... (It speaks the truth of my life. You don't know the hardships I've been through. If you and your Jew @$$ wants to decide my destiny and silence my First Amendment Rights, FUkYOU! Get your fat wikipedia @ss off of my profile. You might think you have a life or something. Going around saying, """"Whoopdie Fuckedy Doo!, Ima go around and delete some random persons Wikipedia Page!"""" FUkYOU! You don't choose what to do with my wikipedia page. Fukyou and fucyour mom.)   """,1,0,1,0,1,1
1013,10505405275,"Also, it's well known that slavic women don't like to wash ..down there ..:(( prepare to ask her to go to wash before..hmm I mean if you want to fuck a slavic woman..Their pussy stinks...",1,0,1,0,1,1
1015,10541796070,"How can you defend those barbarian invaders? 

They have NO RIGHT to be in Israel, those fucking scum!",1,0,1,0,1,1
1172,12372126623,i think this som bitch is fuckin nuts...i mean who the fuck cares....does this info help the yankees win the pennant? no.  does it help me pay child support for my 14 kids all of different racial decent? no....in short FUCK THIS,1,0,1,0,1,1
1916,19824586850,"Fuck Wikipedia and fuck all the leftist, liberal, faggot-loving Jew Communists that run this fucked up piece of shit website!",1,1,1,0,1,1
1951,20178120620,"stop reverting my edit
your so fucken gay get a fucken life your fagot or go get laid or something",1,1,1,0,1,1
2111,21831935049,He IS in Gay German Nazi Faggots. Please do not delete facts.,1,0,1,0,1,1
2187,22560254081,If you guys really discuss napoleon you need to get a fuckin life. it is so sad that you would rather discuss someone who has been dead for years then to look at porn.YOU GUYS R HOMOSEXUALS LIKE ANAL SEX TYPES,1,0,1,0,1,1
2297,23583430179,"Suck it!!! Asyou're used to do,ignorant Romanian Nazi!",1,0,1,0,1,1
2322,23824150340,"LOL 

Stop eating shit you nigger!!",1,0,1,0,1,1
2467,25165400929,"Swedes are the racist trolls. They support the illegal Arabian occupation of Judea and Samaria. 

Every damned European needs to be gassed.",1,0,0,0,0,1
2592,26380880335,Fuck you you stupid and gay bastard who thinls you are cool. Go to hell!,1,1,1,0,1,1
2776,28378583396,"MATE, are you jewish?

Gayness is in the air",1,0,0,0,1,1
2798,28665909409,"NIGHTSTALLIONS FIANCE GOT FUCKED BY A NIGGER AND HAD HIS BABY

AND IT SMELLED OF FRIED CHICKEN",1,0,1,0,1,1
2817,28827699610,"What a faggot.  The man above says he's an adult, but is a fucking homosexual.",1,1,1,0,1,1
